nord;Nord;Nordique;;;;;;;x
nedic;Nedic;Nédique;;;;;;;x
reachmen;Reachmen;Crevassais;;;;;;;;;;;;x
baron_nord;Lord;Seigneur;;;;;;;;;;;;x
baron_female_nord;Lady;Dame;;;;;;;;;;;;x
barony_of_nord;Lordship of;Seigneurie de;;;;;;;;;;;;x
count_nord;Thane;Thane;;;;;;;;;;;;x
count_female_nord;Thane;Thane;;;;;;;;;;;;x
county_of_nord;Thanedom of;Thanage de;;;;;;;;;;;;x
duke_nord;Jarl;Jarl;;;;;;;;;;;;x
duke_female_nord;Jarl;Jarl;;;;;;;;;;;;x
duchy_of_nord;Jarldom of;Châtellerie de;;;;;;;;;;;;x
king_nord;King;Roi;;;;;;;;;;;;x
king_female_nord;Queen;Reine;;;;;;;;;;;;x
kingdom_of_nord;Kingdom of;Royaume de;;;;;;;;;;;;x
emperor_nord;Emperor;Empereur;;;;;;;;;;;;x
emperor_female_nord;Empress;Impératrice;;;;;;;;;;;;x
empire_of_nord;Empire of;l'Empire de;;;;;;;;;;;;x
city_baron_nord;Mayor;Maire;;;;;;;;;;;;x
city_baron_female_nord;Mayoress;Mairesse;;;;;;;;;;;;x
city_barony_of_nord;City of;Ville de;;;;;;;;;;;;x
city_count_nord;Lord Mayor;Seigneur Maire;;;;;;;;;;;;x
city_count_female_nord;Lady Mayoress;Dame Maire;;;;;;;;;;;;x
city_county_of_nord;Grand City of;Grande Ville de;;;;;;;;;;;;x
city_duke_nord;Protector;Protecteur;;;;;;;;;;;;x
city_duke_female_nord;Protectress;Protectrice;;;;;;;;;;;;x
city_duchy_of_nord;Free Hold of;Grande Cité Libre de;;;;;;;;;;;;x
city_king_nord;Union Protector;Protecteur de l'Union;;;;;;;;;;;;x
city_king_female_nord;Union Protectress;Protectrice de l'Union;;;;;;;;;;;;x
city_kingdom_of_nord;Union of;Union de;;;;;;;;;;;;x
city_emperor_nord;Emperor Protector;Protecteur-Empereur;;;;;;;;;;;;x
city_emperor_female_nord;Emperor Protectress;Protectrice-Impératrice;;;;;;;;;;;;x
city_empire_of_nord;Grand Union of;Grance Union de;;;;;;;;;;;;x
job_chancellor_nord;Lawthane;Chambellan;;;;;;;;;;;;x
high_king;High King;Haut Roi;;;;;;;;;;;;x
high_queen;High Queen;Haute Reine;;;;;;;;;;;;x
lord_high_king;Lord High King;Seigneur Haut Roi;;;;;;;;;;;;x
greybeard;Greybeard;GriseBarbe;;;;;;;;;;;;x
greybeard_desc;This character belongs to an order of philosopher monks who are masters of the Way of the Voice, and live in silent isolation atop Skyrims largest mountain.;Ce personnage appartient à un ordre de moines philosophe qui sont maîtres dans l'Art de la Voix, et vivent isolemés au sommet de la plus grande montagne de Bordeciel.;;;;;;;;;;;;x
greybeards_tamriel;The Greybeards;Les  Grises-Barbes;;;;;;;;;;;;x
greybeards_tamriel_desc;The Greybeards were founded by Jurgen Windcaller in the early First Era, in response to the Thuum-wielding Nord army's disastrous defeat at Red Mountain. Jurgen established the Way of the Voice, which uses the Thuum only for the worship of the gods and strives to keep spirit and actions in harmony. Those who devote themselves to the Way of the Voice can harness their inner strength and project a mighty Shout.;Les  Grises-Barbes ont été fondés par Jurgen Parlevent au début de la première ère, en réponse à la défaite désastreuse de l'armée du Nord maniant le Thuum à la Montagne Ruuge. Jurgen a établi l'Art de la Voix, qui utilise le Thuum uniquement pour l'adoration des dieux et s'efforce de garder l'esprit et les actions en harmonie. Ceux qui se consacrent a l'Art de la Voix peuvent exploiter leur force intérieure et projeter un puissant Cri.;;;;;;;;;;;;x
greybeards_tamriel_rank_1_male;Novice;Novice;;;;;;;;;;;;x
greybeards_tamriel_rank_1_female;Novice;Novice;;;;;;;;;;;;x
greybeards_tamriel_rank_2_male;Student of the Way;Étudiant de la Voix;;;;;;;;;;;;x
greybeards_tamriel_rank_2_female;Student of the Way;Étudiante de la Voix;;;;;;;;;;;;x
greybeards_tamriel_rank_3_male;Follower of the Way;Adepte de la Voix;;;;;;;;;;;;x
greybeards_tamriel_rank_3_female;Follower of the Way;Adepte de la Voix;;;;;;;;;;;;x
greybeards_tamriel_rank_4_male;Master of the Way;Maître de la Voix;;;;;;;;;;;;x
greybeards_tamriel_rank_4_female;Master of the Way;Maîtresse de la Voix;;;;;;;;;;;;x
greybeards_tamriel_leader_desc;The most respected of the Greybeards.;Le plus respecté des  Grises-Barbes;;;;;;;;;;;;x
currency_name_greybeards_tamriel;Devotion;Dévotion;;;;;;;;;;;;x
EKGuildFlavor510Greybeard;My contemplation brings me to the reality that Greybeards have faced since the foundation of our order. Study of the Way of the Voice is neither simple nor easy, and takes an eternity of effort to perform.;Ma contemplation m'amène à la réalité à laquelle les  Grises-Barbes font face depuis la fondation de notre ordre. L'étude de l'Art de la Voix n'est ni simple ni facile, et demande une éternité d'efforts.;;;;;;;;;;;;x
cult_greybeards_opinion;Voice Opinion;Opinion de la Voix;;;;;;;;;;;;x;
cult_greybeards;The Way;La Voix;;;;;;;;;;;;x
join_the_greybeards_tamriel;Join the Greybeards;Rejoindre les  Grises-Barbes;;;;;;;;;;;;x
